"Settings","Paramètres"
"Enable Syntax Highlighting","Enable Syntax Highlighting"
"<p><a href=""http://codemirror.net/"" target=""_blank"" title=""Official Website"">CodeMirror</a> allows you to color the HTML code you are typing if WYSIWYG editor is disabled.</p>","<p><a href=""http://codemirror.net/"" target=""_blank"" title=""Official Website"">CodeMirror</a> allows you to color the HTML code you are typing if WYSIWYG editor is disabled.</p>"
"Enable Syntax Highlighting","Enable Syntax Highlighting"
"Indent Unit","Indent Unit"
"Show Line Numbers","Show Line Numbers"
"Enable Line Wrapping","Enable Line Wrapping"
"Auto Close Tags","Auto Close Tags"
